0,1460,5046
0,1510,BNS-8068-1
9,920,2093-2
1,2080,6012
0,1850,6013
0,1620,6014
0,2220,6015
2,3250,8054
1,780,9012
0,1340,6006
0,1130,BNS-8008
0,1550,8009
0,2080,BN-8067
2,1550,BNS-8030
0,560,7001
17,380,13002
51,200,7901
9,200,7901-3
11,350,7905
0,330,BN-7939L
0,200,7919
107,400,7933-1
8,370,SM9036-G
4,390,7936-2
1,310,7937
0,200,4211
0,970,BN-4032
0,1120,LC2042-1
0,1850,4810013
0,1620,4810016
0,1620,LC1003-2
1,2200,8046
11,1740,8058
1,1250,4007-1
0,950,4007-2
1,1250,2007
0,1210,6028
1,1460,2079
1,900,3043
3,810,2006
1,1290,2087
0,1320,BNS-1015
0,1410,9007-2
1,730,4033
5,1350,1097-2
0,1320,9037-B
0,1660,9038-B
0,1660,9038-R
1,1080,9047
10,2400,8130
3,1750,8107
0,1150,BNS-8047
0,1770,BNS-8051-2
0,1100,BNS-2016-2
0,580,4035-2
0,580,BN-4035-1
0,1000,LC2044-1
0,1000,2006B
0,1880,0254-1
0,1750,012-B
0,1290,0255-2
0,1410,LC5004-1
0,1410,LC5004-2
0,1290,5050
0,1290,5011-1XL
0,1680,5033
0,1290,5033XL
3,1800,8049
0,1430,BNS-8006
0,1180,8038
0,1180,2062
0,1180,2088
0,1140,45-2051
0,1180,2088Т
0,1100,2039
0,1180,64-1011
0,1060,8036
0,990,86-1004
0,970,28-20063
0,970,42-1017
1,970,4045
0,1990,m04
0,2020,m12
0,2020,m10
0,0,m13
0,810,LC2031
0,840,BN-8041
0,2040,BN-9017
0,1620,LC9015
10,1350,8108
6,1950,8109
0,2090,BNS-9043
0,1560,9046
0,260,LC7402
0,260,7413
0,1060,BN-4046
2,1750,8033
0,1030,BNS-4018
1,1370,6087
0,1370,6087-Т
0,1390,1014
4,1700,8002-2
2,1550,8082
8,1700,8002-1
4,1750,8007
0,1190,44-2011
0,1340,92-1011
0,1010,95-1022
0,1250,35-50012
0,1180,35-50014
0,1030,44-2020
0,1400,45-2027
0,1030,47-1030
0,1030,47-4013
0,1010,71-1026
0,1210,73-1019
0,1010,95-1011
0,1340,97-0022
0,1340,98-1010
0,1340,98-1022
0,1210,98-1035
0,1010,95-1032
0,760,4026-1
0,1010,97-0032
0,1100,2027
0,1410,9007
0,1060,LC2041
1,1000,3286
2,1180,711022
0,840,711023
0,810,421013
0,640,LC3015
0,1210,741007
0,1340,981035
0,360,Z3
0,310,403R
0,270,4208R
0,390,5034
0,330,BN-1312
4,390,5045
0,840,2003
0,1240,3042
0,1010,37-30045
2,3200,8120
0,1620,8217
0,1950,SC80911
0,1830,BN-8093
0,860,1628
3,1200,8039
0,1060,2022
0,1030,SC3035
0,1210,SC3040
0,0,9038Т
2,690,9024
0,0,9070а
0,550,9124
0,1100,2016-1
0,750,BN-9026
0,280,9038
0,1150,8084
0,2720,"бв 22"
1,2100,8055
2,2150,8013
1,1340,"бв 29"
0,2120,"бв 38"
4,1480,8125
0,1360,"бв 79"
0,1710,"бв 86"
0,1680,6005-2
0,2410,11234
1,3300,"WP 152"
1,3140,"WP 153"
0,1100,BNS-6053
0,2120,"KY 51"
0,2120,"WP 08"
0,2180,"WP 128"
0,2800,"Ьа 12"
0,1640,BN-2096-1
0,1210,2097
0,1040,SC2038-B
0,1040,SC2038-P
0,760,BN-1309
0,960,SC2085
0,1060,SC3021
0,680,SC3011
1,1400,SC6087
0,1510,SC6010
0,1390,SC6012
0,1370,SC6087-B
0,1390,SC8107
0,1530,SC8004
0,370,SM9041
0,210,7506
0,2440,M94113
0,1650,M94114
0,1620,M94116
0,1690,M94117
0,2630,M94125
0,1620,1012-1
0,560,7001-3
0,960,7957
0,1850,LC8087
0,1060,7920
0,340,LC7928
0,920,7943
0,840,7950
0,990,7951
0,870,7972
0,1100,7960
0,1400,LC6019-2
0,1400,LC6019-1
-3,200,7918-2
0,1340,1018
0,1170,5055
0,1400,Ьа25
0,1620,Ьа21
0,1620,MR18
0,2070,CT125
0,1290,8063
0,1010,3006
0,1990,M94103
0,1230,в94307
0,2070,Ь94136
0,1540,б94228
0,1540,б94229
0,1710,в94301
0,1710,в94302
6,1520,8035
0,2300,SC8063
-1,1510,SC9059
0,1740,LC2055-1
0,1230,SC9020
0,1620,SC9058
0,1570,SC9060
0,1620,BN-5294
0,1680,BNS-8115
0,1550,SC8090
0,1760,SM1632
0,1520,1633
0,1810,SM1638
0,270,BNS-9005-1
0,290,BNS-9005-3
0,370,SM9036-B
0,390,7932
0,1340,SC9055
0,1110,LC2014
0,1340,LC8069-2
0,1290,LC8016
1,1560,832
0,1700,LC8028
9,1060,8065
0,1470,8073
3,2250,8005
0,2490,BNS-8110
18,1860,8076
1,1850,8090
0,1290,BNS-8001
5,1750,8091
0,1150,LC2040
0,1230,LC2043
0,1120,LC2042-2
1,1450,LC5027-1
3,350,7905-5
1,980,2051-1
0,1060,LC2051-3
0,1060,2051-2
0,470,LC1025
0,1510,LC5003-1
0,1770,LC0465-2
18,400,7916-2
0,540,LC4024
0,1110,BN-2064
14,350,13003
0,5360,1
0,5500,3
0,2640,4
0,5150,5
-1,0,n1
0,2260,8085
0,1400,BNS-5012
-1,0,11
-1,0,13
-1,0,14
1,3580,15
0,6840,16
0,15330,17
-1,0,18
-1,0,19
0,5030,21
0,3920,26
0,10490,24-1
8,1950,8126
1,2120,4524
0,1860,8118
0,760,SC3074
0,1290,2092-2
1,1410,5076
1,560,9035
0,690,BN-4066-2
0,690,SC3073-P
6,780,BN-11025
0,500,SM3502-A
1,1100,4002
0,1750,BNS-8207
2,1920,8117
0,1010,BN-2095
0,1180,BN-3004-2
0,1400,LC6017
0,1670,BN-6035-1
0,1720,BN-6033
0,1340,BN-2036
0,1510,LC2055-3
0,1790,BNS-6036-2
0,2760,8103
0,1510,BNS-8123
6,2350,8128
0,1550,2066
0,2070,Ь94135
0,1370,Ь94106
0,1370,Ь94107
0,1490,Ь94112
0,1390,б94205
0,1340,б94210
0,1340,б94218
5,2980,1209
0,1870,Ь94120
0,1530,Ь94126
0,1530,Ь94127
2,620,94220
0,1700,б94226
0,1700,б94227
0,1290,Ь94139
0,1290,б94235
0,1410,б94236
0,1530,в94313
0,1100,BN-1035-1
0,5830,204
0,1230,307
3,1060,7017
1,3350,305
0,1640,BNS-8234
0,4700,
0,5580,
0,2460,
0,1620,LC1012-2
1,950,2033-1
0,1640,2033-4
0,1640,2033-5
0,1510,LC2055-4
0,1460,2096-2
0,1800,8026
0,1230,BNS-8027
0,1760,LC8031
0,1660,8032
0,1180,LC8069-1
0,1710,LC8074
0,1700,8083
0,1060,LC8101-3
0,1660,BN-8129
9,1640,8131
0,2580,BNS-5001-P
0,1300,LC5017-3
10,360,BN-7933-2
0,1790,BN-6036-1
9,1050,6034-1
0,4030,
0,420,7004-1
14,420,7004-2
21,420,7004-3
24,150,7005
0,120,LC7006-3
0,180,7007-3
0,250,LC7008-1
0,250,LC7008-2
0,250,LC7008-3
2,900,81200
0,1230,BNS-81250
2,1900,301
0,1750,BN-8044
4,2200,1799
1,1520,8111
3,1750,203
1,1960,BNS-7103
0,1850,15017
0,1850,15010
14,2750,P71
0,1900,LC7114
0,1100,BNS-2034
0,1000,LC2044-3
0,2070,B-808
0,2280,Р022
0,2580,Р028
1,1600,Р029
0,1110,BN-2085-1
0,1350,15001
2,760,LC7907
0,1100,LC2105-2
0,1330,BN-8077
0,1500,BNS-8079
0,300,LC7009-1
0,300,LC7009-2
0,250,LC7010
0,1570,8045
5,1640,8086
13,1550,8106
1,1600,BNS-8158-1
0,1600,BNS-8158-2
0,2020,BN-5050
9,1340,8165
0,1250,LC3040
0,2710,4230
0,1810,LC8150
0,1550,BN-1265
2,1900,8190
0,1340,SL06
0,1510,37-30033
0,4260,
4,1850,8134
0,1290,BNS-7101
0,6870,708
0,5490,704
0,5040,715
0,1570,SC6096
0,1570,SC6096-B
0,1510,SC9074
0,1510,SC9074-B
0,690,7921
0,840,7924
0,2800,mp35
0,3080,mp16
0,3980,wp126
0,1100,ky53
0,730,ky79
1,1980,wp136
0,3220,PB75
0,4620,PB23
7,2630,11258
0,2630,ё31
0,4500,710
0,1640,504
0,2580,
0,3080,
0,2300,
0,3580,kz14
2,2200,BNS-8066
0,1620,LC8122
0,1840,BN-8141
0,1340,8177
0,1760,LC8184
5,1750,8186
1,1300,8188
0,1620,LC8196
4,1750,8209
1,1250,8210-1
0,1510,2038-2
5,1100,3093-1
0,1100,BN-4067-2
1,500,4067-3
0,1800,6034-2
0,1850,6038
0,1300,7124
0,1320,LC7132
0,2410,LC9051
0,920,BN-9011
4,960,LC9023
2,500,9024
1,680,7922
1,2440,8046P
0,2270,BN-8114P
0,1440,LC9008
1,2110,1264
0,1510,LC8167
0,1430,LC7127
3,2450,8037
3,300,7021
0,1430,LC2113
4,1480,7130
12,380,7918-3
0,1450,LC8117P
0,1810,1176
0,2220,CT176
0,2440,WP192
0,1430,2038-1
0,1510,2033-3
0,1660,11155
6,500,KY39
0,1060,KY33
7,500,KY20
0,970,KY32
0,0,603
0,0,606
0,0,608
0,0,615
0,0,620
0,0,621
0,2970,626
0,3330,636
0,0,639
0,0,652
0,0,659
0,1680,b036
0,1430,b037
0,2020,b038
0,2070,b039
0,1660,b040
0,2070,b041
0,1620,b042
0,2350,b043
0,1400,b033
0,2070,b034
0,1850,b034-1
0,1400,b035
0,2130,b028
0,1620,b029
0,1620,b029-1
0,1660,b030
0,1620,b030-1
0,1660,b031
0,1340,b032
0,2580,BN-7134
0,2800,kz44
19,1290,1204
2,2350,8152
0,1880,BN-1207-1
0,2400,BNS-11204
0,1990,BNS-1307
2,1740,BNS-8221
0,1850,BNS-1274
0,2120,BNS-1350
5,950,2047
2,1860,1189
0,500,BNS-4063
0,3000,BNS-6155
0,1960,BN-7125
0,1180,BN9050
2,2440,8218
0,760,BNS-13007
3,980,2111-2
0,1650,2111-1
0,1510,2111-3
9,980,2111-4
0,1110,BN2085-2
1,1970,085
7,1900,1191
0,1780,BNS-6140
0,2030,BNS-6137
0,1840,BNS-1202
0,1740,BNS-1203
0,950,BNS-3020-2
0,1850,BNS-6629
1,2100,1256
0,1660,BNS-1295
6,2250,8197
0,1900,1337
0,2110,BNS-15020
0,1880,1375
0,2090,8202
0,2220,101-10018
0,1780,16-0005
1,1290,16-0006
2,1650,16-0017
0,1650,16-0018
0,2130,16-0019
0,2500,16-0023
1,2130,16-0024
4,970,31-5009
0,4030,BKM-10
0,4030,BKS-060
0,-0,34567
0,4090,A970
0,2460,9009
0,2800,F3400
0,2690,F3402
0,4370,F3409
1,2460,F3432
0,2670,F3457
0,2490,F3470
0,1860,BNS-1303
6,1880,8214
0,1390,BN-8092
0,1880,BN-8173
0,1770,BN-7104
0,2740,BN-7122
0,2780,BN-7128
0,1850,BN-7120
0,2120,BN-7133
20,1950,15016
0,1850,BN-7143
0,600,7022
0,1850,BN-8157
4,2400,8220
0,1850,15027
0,1700,BNL-7116
0,1450,BNL-7123
13,1740,7151
0,3500,3232
0,3300,BNL-7165
0,1670,BNL-7161
0,1590,BNL-1103
4,1450,8453
0,1840,BN-1305
0,1840,BN-1306
0,1770,BNL-71047
0,2270,BNS-15046
0,2040,BN-4029
0,2300,BNS-5038-3
0,1770,BNL-4200
0,2300,BNL-4196
0,2300,BNS-5038-2
0,2200,BNL-4198
0,4030,KM11
0,4030,KM44
0,290,ZW-66-305
7,320,45-2031
0,1960,103-1004
0,2130,102-10101
0,950,16-0004
0,1100,97-0024
0,2220,101-10018
2,1290,9-3073R
2,1290,9-3073
2,950,12-0039
0,1210,15-0016
0,1370,1-0011
2,1100,9-3084
0,1790,79-1053
1,1250,16-0022
0,950,WR-45
4,1980,8061
0,1850,BNS-8010
2,1900,8024
2,1340,8208-2
5,2200,8212
0,1340,BNS-8179
0,1850,BNS-8146
4,1860,8219
2,1410,8213
1,2200,8181
2,1850,8164
1,1850,8200
0,2420,BNS-8203
0,2080,8160
1,1670,BNS-8226
0,1880,Ь91006
0,1320,3049
0,1100,4002
0,840,BNS-4038
0,1100,BNS-4067-1
0,1510,BNS-2033-2
1,1450,2084-1
0,1340,BNS-2084-2
0,1850,BNS-8223
0,1740,2107
0,1570,2010
0,1880,BN-7001
1,1080,097
3,550,9049-6
0,1050,9054
0,1400,BN-905
2,860,4053
2,1250,8210-3
0,1510,2038-3
1,1080,9047
1,960,BN-9051
3,1100,9032
0,1640,BN-2099
0,1620,BN-1136
0,1430,BN-9046
0,2080,8230
14,1550,8229
10,1500,8216-2
12,1500,8216-1
0,1180,BN-7015
21,840,7018
0,1660,BN-7126
0,1510,BN-2033-2
0,310,9095-1
12,200,7918-2
0,3250,303R
0,1100,333
0,850,111234
10,1030,"BNS -2009"
0,3580,719
3,2950,716
0,6890,718
0,5040,F715
0,6500,713
0,2130,303
0,5620,WP210
2,1850,WP2111
1,5490,701
0,2060,BNS-8070
2,2260,1314
0,1420,051
3,1860,5048
2,1880,BN-030
0,1890,BNS-8244
1,2450,8243
2,2550,8242
0,1780,BNS-8239
0,1900,BNS-8237
2,2350,8236
1,2450,BNS-8235
0,2080,BNS-8232
0,1900,8231
7,1460,8227
9,2200,8225
0,1680,8224
4,1650,8205
0,1520,BNS-8195
1,1250,2118
0,1230,BNS-6042
2,1340,8194
1,2150,8246
0,1750,BNS-9057
0,2370,BNS-5029
0,2120,6206
1,2360,8187
0,2260,BNS-8192
0,2550,8245
0,1970,BNS-8240
0,2950,8238
12,1950,2009
0,390,BNS-7417
0,280,BNS-7420-2
0,390,BNS-7428
0,1970,4058
0,2740,803-B
8,1300,6198
3,1760,BN-9245
0,2600,BNS-5056
0,2640,BN-80054
0,1900,5072
0,2580,BNS-5044
0,1140,б-810
0,1110,BN-1220
0,1860,BN-5016-3
0,1330,BN-2067-1
0,2080,091-2
0,1450,2091-3
0,1670,2129
1,1300,6050
1,620,BN-2080
1,900,2130
0,2740,bn2
2,320,4117-2
12,2100,8023
1,1290,8043
1,1850,BNS-9014
0,360,BNS-7972
2,1350,8233
0,310,BN-7937-1
0,1790,09002
0,1560,09007
0,2120,BN-69
3,850,831
1,650,BN-5
0,3340,BN-150
3,1750,1002
0,810,BNS-4004
0,580,BNS-4035-3
0,580,BNS-4035-4
0,760,BNS-4027
0,960,BNS-40681
0,1210,BNS-2052
1,320,4064
2,1400,8034
9,1230,1446
0,2200,8269
0,2420,8275
8,800,8312
0,1770,8147
0,1930,8292
0,1990,BN-4030
2,400,7953
0,1060,BNS-4087-1
0,1060,BNS-4087-2
1,750,4086
0,960,BNS-2110-3
0,960,BNS-2110-2
0,960,3318-1
1,780,2121-3
3,960,3318-2
0,960,3319
0,1100,BNS-1035-2
0,1080,BNS-2128
0,1640,2033-6
0,1430,2131-3
6,890,3334-3
5,980,2131-2
6,860,2083-1
6,780,2083-2
0,500,BNS-4063
0,1330,2067-2
0,1100,BNS-1024
12,420,7524-1
0,540,7524-2
16,420,8025-4
3,540,7524-4
0,1100,4009
0,950,BNS-2124-2
0,1030,BNS-2124-3
0,1390,2091-1
1,890,2126
0,920,BNS-3033
0,690,BNS-4091
0,560,4092
0,250,BNS-7527
26,360,7905-2
13,400,7916
20,300,19022
0,380,19025
0,2320,BN-5010
0,310,BN-2050
2,1500,BNS-5017-3
0,1930,BNS-5057
0,1720,BNS-5045
0,2390,BNS-5062
0,2910,BNS-5063
3,980,2133-1
0,1110,BNS-2133-3
2,1250,2134-1
0,1340,2137-1
0,1210,BNS-2137-2
0,1340,2137-3
6,990,2138-1
3,900,2138-3
0,1790,BNS-6057-2
0,1790,BNS-6057-3
0,1770,9060
0,1930,8252
0,300,BNS-7014
10,960,8282
0,2200,8262
0,390,BNS-7533
10,400,7981
1,810,7019-1
12,810,7019-2
8,1050,8251-1
0,1510,8251-2
0,250,BNS-7941
0,940,BNS-30433
0,730,BNS-7535-1
0,730,BNS-7535-2
5,1480,8255
1,1370,BN10255
0,1740,BN10257
2,450,4096
2,470,4097
0,660,BN-4179-2
0,660,BN-4179-1
0,1210,BNS-6046
0,1860,BNS-8270
0,1570,BNS-8249
0,1080,BNS-2143-1
0,1080,2143-3
0,3340,"A 2006"
6,3120,1441
2,3250,1443
3,2750,4167
0,2220,1403
0,390,BNS12
0,1810,BNS-8274
0,1660,BNS-8080
0,1850,BNS-6058
0,1790,BNS-6060
0,1880,BNS-8259
0,990,3051-2
0,990,3051-3
12,780,2125
0,970,BNS-3060
0,1000,BNS-7011
0,1000,BNS-2154
10,850,4167
6,1060,8260
1,1760,BNS-5002
5,720,4166-1
8,720,4166-2
0,1210,BNS-2134-2
6,400,7916-1
0,310,BNS-7916-3
16,350,7980-1
1,1550,8265
0,1770,9063
0,1500,9062
0,1100,BNS-8291
2,500,4112-1
3,500,4112-2
0,1110,BNS-4103
0,1250,BNS-3044
0,1100,4125
0,770,BNS-4123
3,520,4118-2
3,520,4118-1
0,1330,BNS-2067-3
0,870,BNS-2145
0,2740,BNS-8247
0,1620,BNS-8271
0,770,7019-3
0,2310,B-8006
0,1680,B-8034
0,2180,B-27915
0,2180,B-30499
0,2350,B-69422L
0,2020,"B-69422 S"
0,2020,"B-69422 R"
0,2530,B-018
0,2530,"B-018 B"
0,2530,"B-018 R"
0,2220,B-045
0,2220,"070 B"
0,2220,"Р 070"
0,2200,Т-808
0,3340,B-810
0,2220,B-819
0,2220,"B-819 F"
0,2220,"B-819 W"
4,1860,BNS-5068
0,2220,BNS-5065
2,1550,B046
2,500,4068
1,940,2091-4
0,280,9084
0,310,7971
0,320,BNS-7939
0,340,BNS-7929
34,360,BNS-7915
1,1500,BNS-5064
4,1650,5069
0,2180,5026
8,2450,15056
0,1200,7150
2,850,2160
0,1530,2171
0,1110,BNS-3064
0,870,BNS-3063
0,1050,BNS-4122
1,1340,8267
0,3200,8273
0,1700,BNS-8256
0,2460,BNS-8263
7,1650,8301
0,1860,BNS-8276
0,1520,8303
3,1620,8258
0,1190,BNS-8307
0,1430,BNS-8285
3,1650,8298
0,840,BNK-1
0,1230,BNK-2
1,1430,BNK-4
1,1510,BNK-5
1,1900,8304
0,2060,8284
8,1450,8297
9,1450,8283
0,670,BNS-8268
0,1500,BNS-8261
0,1790,BNS-8264
0,1420,BNS-9065
0,1110,4133
0,1230,4134
11,1750,1548
9,1650,8289
0,1230,8286
0,750,BNS-3065
0,940,BNS-4135
0,720,4130
0,1030,BNS-2158
0,2070,JK1
5,730,3372
4,810,BNS-2156
0,1060,BNS-1031
0,990,BNS-1037
0,1390,2139-2
0,960,BNS-3066
0,1790,BNS-7114
2,2250,1592
0,2200,8345
0,1900,BNS-8340
3,1850,8322
2,2100,8323
7,1550,BNS-8331
0,1770,8326
0,2460,BNS-5071
1,990,8321
0,1430,BNS-2167-2
40,1260,BNS-8306
0,1140,BNS-8317
0,2970,8294
0,1100,7023-3
7,1100,7023-2
10,1100,7023-1
0,2970,BNS-8290
1,1600,BNS-8287
3,1850,8293
3,1600,8299
2,3150,8277
7,2650,8296
0,1100,BNS-2176
0,1840,BNS-2142-2
0,1840,BNS-2142-1
0,2420,BNS-8280
1,1500,5031
4,1400,8320
9,1380,6225
4,1450,6226
0,1660,BN-11078
0,1690,1674
0,1990,1678
0,2530,1487
2,2250,1682
4,430,BN-13008
6,2100,1479-1
7,1450,3142
3,2350,1639
0,1840,BN-1676
1,1620,BN-11180
0,1660,BN-1671
0,1460,1587
11,870,11121
0,1850,BN-1680
0,1660,BN-1685
0,1970,1687
0,1860,1440
0,2690,BN-1451
6,1940,1455
4,2600,1466
0,1850,1567
2,2450,BN-1627
4,950,1509
2,3550,8250
0,540,B-9006-3
0,840,BNS-81250-3
6,2080,BNS-8351
2,1990,8314
0,1650,8300
0,1640,8349
4,1300,8316
0,1960,BNS-8342
3,1650,8327
7,1600,8335
0,1590,8180
0,1660,BNS-8288
47,1740,7157
0,1960,BNS-7158
0,2080,BNS-7153
0,2460,BNS-7154
0,1750,BNS-7156
0,1230,215095
0,1080,BNS-7159
5,1400,BNS-5075
0,2800,1680
0,2520,BNS-5073
0,1180,BNS-2181
0,1100,BNS-2179
10,990,8313
2,990,8350
39,450,9119
9,2410,8360
1,2870,8357
0,1290,BNS-7032
0,2070,BNS-8278
6,2350,8353
0,2200,BNS-7152
17,380,9095-4
37,380,9095-8
10,380,9095-3
4,2200,P11221-2
26,680,9117
0,200,9127
3,890,2093-1
0,1970,1720
2,1950,15061
5,2900,P130
0,2070,BN-15068
0,1290,BN-15069
0,1680,15085
0,1100,P150
5,2350,BN-15090
3,1680,BN-15084
0,1300,15081
5,1850,1462
1,2200,8352
0,2150,BN-1433
0,1990,1406
5,1750,5078
1,2600,1442
7,2100,1479-2
0,2200,1495
2,1900,1491
0,1960,1702
17,400,9111
0,1100,BN-5046
0,1570,1404
0,1340,1458-2
3,2450,1705
0,1250,1622
12,870,3400
0,1970,1721
0,3300,BNS-7155
23,800,1212
3,1950,20099
0,2060,BNS-7165
0,1790,7164
0,2180,BNS-7163
0,2630,15103
0,2200,BNS-15035
5,960,BN-3384
1,1640,15066
0,1250,BN-15064
0,2130,BN-15083
0,1970,BN-15082
0,2410,BN-1588
0,2350,BN-15094
0,2630,BN-15087
4,2580,P098
0,250,BN-13032
0,750,13034
4,1550,8347
0,1750,BNS-8336
0,2180,BNN-02
0,1280,BNN-06
1,1450,11107
0,1890,BN-1719
5,2700,1718
0,1860,1527
6,1440,1549
0,970,BN-3358-1
2,1290,1510
2,1500,BNS-803-R
5,1250,JR2
0,1850,BNM-9512
0,1680,BNM-5964
0,2070,BNM-JR0004
0,2070,JR25
0,2520,4266
3,2260,1493
0,1750,BN-1492
0,2330,1451
1,1750,BN-1610
0,1750,BN-1463
0,1640,BN-1713
0,1750,1716
0,1410,BN-1508
2,1530,BN-1686
0,1890,BN-1437
0,1740,88024
13,1340,1435
2,2600,14-42
11,480,3399
0,1100,BN-3343-4
1,3200,1452
0,730,BN-4179-3
0,3140,6236
1,1680,11209
0,1900,BN-11233
2,1800,6229-1
3,1800,6229-2
2,200,7919-2
0,1880,BN-6203
0,810,BN-3398
1,960,BN-3397
5,1400,BN-6186-2
4,1050,BN-8006
5,1640,8343
6,980,8362
3,1250,8361
22,850,8356
0,1400,BNS-2175
3,870,2122
8,400,7996
38,360,7999
16,400,7993
39,310,7991
1,1950,2177
0,1110,BNS-2180
0,2120,1717
1,1060,3404
0,960,1729
5,780,BN-3208-1
0,970,BN-3208-2
2,1850,1725
0,1100,BN-4190
0,1100,BN-3039-2
0,1330,BN-2034-2
0,2630,25251
0,1510,BN-1547
4,1650,BN-1661
5,1620,BN-11043
1,1500,11215
0,1770,BN-6161-4
0,1770,BN-6017-2
1,970,BN-5086
0,1080,BN-3274-1
0,1190,4121-1
2,720,11205
0,1400,3242-4
1,1050,3242-5
0,1060,BN-3392-1
0,1750,11023-1
1,810,3396
0,1100,BN-3395
0,920,11218
3,480,N4118-2
0,1190,4121-2
0,3580,LS-12
1,7500,sw-12
0,620,bl-02
0,620,BL-02-B
1,700,BL-17
0,1060,BG-01
0,1100,NC-44
2,750,BNB-25
0,2600,31188
20,550,2333w
2,1450,6012
1,1400,8912
0,1810,BN-69422
1,1560,9423
0,2040,BN-045
0,1990,BN-6249
1,1450,BN-807
1,1400,BN-6223-1
2,1290,BN-030
0,2080,065
5,1300,N101
0,1790,BN-101B
-1,2450,N006
0,2060,BN-818-R
3,1500,BN-015-P
0,1970,BN-015-B
0,2080,BN-819
0,2070,"BN-808 P"
2,1560,8034W
0,280,BN-7426
0,250,Т-46
4,500,Т-41
9,500,Т-71
0,280,Т-25
0,300,Т-17
0,180,Т-24
0,180,Т-23
0,390,B-61
0,520,B-72
2,490,0093
0,630,BNS-7546
0,630,BNS-7553
0,630,BNS-7548
0,630,BNS-7550
3,970,2012-1
0,2070,JR7
0,3080,X091126
7,1750,BN-15005
0,2760,16983
0,2530,55052
0,2740,25252
0,2180,25254
2,2220,2513
0,800,1038
0,2070,2571
0,2220,25138
0,3580,25140
0,2220,25176
0,2120,25192
0,2180,25208
0,2220,2529
0,2180,25240
0,2180,25241
0,2410,BN5
0,2410,123
0,2300,124
0,2530,6178
3,1350,6175
7,1850,4123
0,1850,4186
0,1750,1309
0,1790,6003
0,1640,4256
1,2350,4183
0,2410,6170
10,1460,4377
0,1880,3185
0,1340,3283
0,1460,3277
-1,2080,4195
0,1620,4311
2,2760,6172
1,1350,3242-1
1,1080,3031
1,950,3092
0,1570,9002
1,3580,200004
0,1550,1258
1,2250,1531
0,1840,1733
2,1850,1675
4,2200,1485
0,1230,1234
0,1750,11036
0,1620,30015
0,1510,111035
2,1520,30009
4,2150,1142
1,1460,1271
0,1300,1144
0,2870,110
4,1080,280079
0,2420,111048
8,550,210073
1,1980,11220
4,2200,1722
